x,y,VAUD_mean,VBUD_mean,VCUD_mean,VALR_mean,VBLR_mean,VCLR_mean,PXAL_mean,PXAM_mean,PXAR_mean,PXBL_mean,PXBM_mean,PXBR_mean,PYAL_mean,PYAM_mean,PYAR_mean,PYBL_mean,PYBM_mean,PYBR_mean,VAUD_std,VBUD_std,VCUD_std,VALR_std,VBLR_std,VCLR_std,PXAL_std,PXAM_std,PXAR_std,PXBL_std,PXBM_std,PXBR_std,PYAL_std,PYAM_std,PYAR_std,PYBL_std,PYBM_std,PYBR_std
20,-6,0.004527872,0.000747552,0.011802198,0.004627872,0.004356543,0.018338062,0.007860839,0.016864236,0.013024575,0.040442557,0.044849251,0.025904396,0.008589173,0.018528372,0.019394006,0.011235065,0.011969928,0.009116378,0.022037639,0.015998699,0.010641909,0.019325859,0.019997257,0.018865631,0.029591132,0.039727926,0.03916107,0.047670686,0.05990471,0.044894468,0.031682879,0.038443076,0.029826414,0.006546925,0.005858616,0.005734751
20,-7,0.001714885,0.00240979,0.013741459,0.003915784,0.004958941,0.010914886,0.009951948,0.026906893,0.020805395,0.033299401,0.038605894,0.010568332,0.001427235,0.00687972,0.011115485,0.011412987,0.011761137,0.008652342,0.026485366,0.015432897,0.006713002,0.020942935,0.023107449,0.016044438,0.030631228,0.042799198,0.042099929,0.048216511,0.056782706,0.030672837,0.036294623,0.045063747,0.036107105,0.005900974,0.004972421,0.006350639
20,-8,0.001007393,0.004251149,0.015360939,0,0.015292507,0.010278322,0.008610689,0.033255644,0.029397103,0,0.005324775,0.004705295,0.004454807,0,0,0.011305794,0.011774324,0.008360134,0.025961368,0.012832197,0.006192235,0.019362072,0.019657837,0.015483491,0.030033193,0.045562889,0.044442336,0.030765161,0.034464706,0.02184622,0.034203435,0.049393349,0.042236663,0.006867952,0.003756392,0.006567823
20,0,0.019354146,0.007633666,0.01319021,0.026027173,0.011733067,0.018087413,0.0366996,0.056162537,0.042998102,0.085906893,0.030473427,0.00578981,0.024643818,0.039510789,0.034977023,0.011185015,0.010186112,0.00904435,0.005438021,0.007050216,0.008549158,0.009066477,0.006717414,0.012257204,0.033829792,0.036314955,0.028681928,0.032292287,0.040357662,0.018959407,0.011817717,0.013684142,0.009491276,0.005185242,0.00771279,0.004719501
20,1,0.018771029,0.007723676,0.015046454,0.026441558,0.012640659,0.016412288,0.034279021,0.048081618,0.042157942,0.071248651,0.022927572,0.005227473,0.024353708,0.038771928,0.034977323,0.010154446,0.010735363,0.008891103,0.005419234,0.008153662,0.006602742,0.010335897,0.00731705,0.010047383,0.033782205,0.038482767,0.028076432,0.03964291,0.038550106,0.019061804,0.012839562,0.015508605,0.006962039,0.005874097,0.008426034,0.005894364
20,2,0.017587612,0.006787313,0.012663037,0.02879041,0.01195045,0.015635865,0.038285215,0.049367832,0.04131009,0.074938761,0.028314186,0.003883317,0.022949213,0.037143457,0.033607792,0.010316983,0.010320078,0.008650244,0.006485789,0.008832919,0.009883321,0.013409406,0.00907545,0.007523696,0.036362478,0.03982991,0.031161138,0.040117138,0.038349041,0.015556491,0.014078686,0.016006665,0.011241876,0.0057313,0.009077974,0.006278449
20,3,0.014622977,0.00662038,0.011875824,0.026702198,0.011821678,0.012952848,0.034866833,0.038112388,0.034921778,0.079167932,0.038891309,0.006796404,0.0210621,0.034411688,0.033173826,0.009196104,0.010824274,0.008715778,0.010643025,0.008768135,0.010119634,0.015003849,0.011625073,0.009306321,0.03833853,0.042867614,0.036018458,0.040527264,0.046838896,0.019058278,0.015811409,0.019299014,0.011201446,0.007039288,0.007246805,0.005714577
20,4,0.015281918,0.004537463,0.010065834,0.031321279,0.016521179,0.011876624,0.05520989,0.060016883,0.046292308,0.061954845,0.031798601,0.010218781,0.023500961,0.039788711,0.03548042,0.007235964,0.0086985,0.007661333,0.009019789,0.013127193,0.011932919,0.014474205,0.014887409,0.010480951,0.036919271,0.042062,0.033303839,0.044619738,0.046597126,0.022681372,0.012915953,0.010089809,0.006676787,0.009703147,0.011339673,0.005046839
20,5,0.015746354,0.001827872,0.00918981,0.029612587,0.017121878,0.008313787,0.060521379,0.067839261,0.052544356,0.053104795,0.035987712,0.014397003,0.024877185,0.039805694,0.036588012,0.006971828,0.008642556,0.005393101,0.009262587,0.017217438,0.012704943,0.015332568,0.017456119,0.015002612,0.036720968,0.038687003,0.027917611,0.047470005,0.048530433,0.028650268,0.009742904,0.009245567,0.004955353,0.010828868,0.009097309,0.009041639
20,6,0.016918182,0.003604496,0.006818182,0.021934865,0.016909491,0.005951849,0.045177423,0.06628002,0.053649251,0.038367732,0.027385814,0.009881319,0.025885377,0.039964236,0.036954446,0.002876124,0.006636961,0.005156637,0.006097913,0.01177303,0.017803606,0.015146565,0.01533323,0.015557684,0.039032948,0.038851626,0.027277718,0.045390498,0.045305634,0.024208973,0.007678175,0.008414399,0.004309496,0.012909493,0.012637096,0.009590861
