loss,mae
0.396863967,0.473856211
0.397555798,0.47903192
0.39537105,0.471919268
0.370263338,0.460804403
0.399882942,0.475764513
0.471084952,0.504651368
0.407479703,0.485989422
0.4028005,0.488097966
0.376330882,0.463926077
0.344154656,0.448008984
0.332497209,0.434954822
0.352143317,0.446642518
0.38809514,0.463979483
0.33736974,0.435922623
0.344409227,0.445521384
0.39819178,0.478358448
0.390651971,0.464205831
0.332131416,0.436330825
0.348185003,0.4435983
0.351153135,0.452425331
0.313398004,0.429775506
0.32262224,0.434635431
0.305395544,0.425477952
0.312824875,0.422516167
0.289211094,0.410466194
0.346176684,0.443478584
0.373641402,0.464534074
0.420296371,0.504014671
0.330860049,0.441738427
0.273508608,0.393756449
0.335398912,0.43566227
0.301566392,0.421032846
0.267637342,0.393892825
0.255151123,0.388824999
0.364192009,0.45114401
0.39025867,0.476687849
0.313530773,0.427996278
0.286430418,0.414873332
0.254604429,0.384459972
0.228972748,0.361217648
0.240232632,0.370376229
0.237405777,0.373275638
0.24175103,0.377902716
0.226323426,0.361757636
0.245353296,0.377421647
0.310674667,0.420099616
0.291093111,0.411075622
0.323760659,0.424812049
0.312812537,0.419124842
0.3068555,0.415482402
0.291217566,0.420093983
0.288702786,0.40086183
0.234872743,0.373739123
0.228158876,0.366791129
0.204828009,0.35172981
0.202751175,0.34565714
0.191243455,0.336642981
0.207178742,0.345913559
0.20947133,0.34257701
0.198450714,0.341414988
0.20507209,0.348780721
0.216587141,0.356697351
0.187264606,0.332710117
0.176525012,0.325012535
0.184853792,0.324676365
0.171792895,0.31520167
0.214086577,0.349723041
0.249297306,0.379736573
0.186482757,0.329846144
0.182362899,0.335607976
0.185919434,0.328220308
0.18925637,0.338647723
0.220196411,0.358176172
0.267556578,0.369334668
0.277222723,0.390140951
0.216212422,0.356389672
0.206926465,0.349947542
0.200685441,0.337398678
0.237983897,0.378596753
0.222834408,0.364508659
0.180772647,0.331199199
0.15692535,0.3073304
0.163030848,0.309838504
0.17855002,0.323720157
0.175520122,0.327465475
0.182911023,0.333121806
0.1516819,0.305664271
0.158647493,0.307192415
0.171131521,0.319131047
0.154502183,0.305523276
0.128318146,0.278045237
0.158942878,0.312360764
0.154328555,0.300451219
0.158315733,0.313463628
0.175670087,0.317671508
0.132581577,0.282104105
0.12545231,0.274805397
0.121805049,0.269981563
0.123900406,0.276525497
0.143647522,0.296568811
0.119676135,0.267792821
0.136716977,0.282380253
0.154949561,0.299340516
0.141494855,0.293509752
0.150882006,0.303358793
0.157957107,0.306797773
0.179538265,0.326907456
0.173760697,0.318096608
0.144060478,0.291092247
0.141361341,0.285642207
0.1124404,0.260740519
0.100300096,0.24575913
0.104051888,0.252936006
0.11230763,0.262613237
0.110573858,0.263923436
0.102110907,0.24816142
0.111658342,0.258707464
0.137845472,0.278161019
0.139064983,0.284714818
0.113588519,0.261925578
0.120245397,0.266243964
0.225660712,0.341230571
0.143613026,0.295361429
0.196626633,0.330313802
0.137493312,0.288289845
0.12312755,0.270978421
0.106536411,0.254833698
0.099982955,0.240922704
0.096588075,0.239868566
0.103921339,0.254733443
0.130026832,0.27587989
