x,y,VAUD_mean,VBUD_mean,VCUD_mean,VALR_mean,VBLR_mean,VCLR_mean,PXAL_mean,PXAM_mean,PXAR_mean,PXBL_mean,PXBM_mean,PXBR_mean,PYAL_mean,PYAM_mean,PYAR_mean,PYBL_mean,PYBM_mean,PYBR_mean,VAUD_std,VBUD_std,VCUD_std,VALR_std,VBLR_std,VCLR_std,PXAL_std,PXAM_std,PXAR_std,PXBL_std,PXBM_std,PXBR_std,PYAL_std,PYAM_std,PYAR_std,PYBL_std,PYBM_std,PYBR_std
30,1,0.04612987,0.022874026,0.035554346,0.067949151,0.044102498,0.027986513,0.100748551,0.109999301,0.086725175,0.069426274,0.084424076,0.087484815,0.056817083,0.053029071,0.075623676,0.026281019,0.024316408,0.008699734,0.006426841,0.01856066,0.022110635,0.013337185,0.021640077,0.032738434,0.018116796,0.036636988,0.036238232,0.050206291,0.061122957,0.053993277,0.007870715,0.00824213,0.008292522,0.015496301,0.018181669,0.00856515
30,10,0.043701998,0.029934865,0.039839461,0.037873626,0.0245002,0.044561339,0.020693906,0.041999301,0.105362537,0.028414785,0.015452547,0.009222378,0.059251149,0.060522178,0.07212967,0.031732567,0.03564378,0.018032601,0.001098825,0.001452368,0.001883159,0.001884093,0.001963716,0.005385708,0.007695612,0.018900792,0.006915172,0.019337803,0.018235576,0.007882893,0.000756523,0.000836025,0.001012365,0.001230301,0.001899224,0.001268571
30,2,0.046365934,0.019247353,0.032901099,0.065756044,0.045252947,0.032028871,0.097787113,0.115966533,0.093053147,0.050603596,0.069083616,0.077582917,0.059667732,0.052740659,0.074908092,0.021726973,0.019811113,0.005539994,0.007526668,0.024225897,0.024651135,0.014327584,0.022623631,0.033756645,0.022422292,0.030591765,0.032667342,0.052677543,0.063242855,0.055772979,0.00375968,0.010913342,0.009036971,0.016730343,0.019513224,0.012580308
30,3,0.045856743,0.025763237,0.028811788,0.06358042,0.042085115,0.03883956,0.098976823,0.1188001,0.103808891,0.034674625,0.041751349,0.049766633,0.061662138,0.055837762,0.076431369,0.019216683,0.018465659,0.009298335,0.005069494,0.014753116,0.028795885,0.014146038,0.017499881,0.032258888,0.015519929,0.022754497,0.02020547,0.041518374,0.055104235,0.05346557,0.002499327,0.003391332,0.003909843,0.016881745,0.019429561,0.009446749
30,4,0.046650749,0.025661139,0.032918482,0.054240759,0.039689311,0.044687413,0.088816484,0.115781818,0.107390609,0.018083117,0.023247053,0.031015385,0.059884715,0.056567433,0.075033566,0.01381958,0.013987936,0.010459374,0.003793555,0.018750615,0.024449961,0.012134475,0.012847087,0.025019223,0.019161452,0.020931372,0.013858889,0.031278449,0.040719717,0.041037805,0.001883606,0.004101367,0.003799335,0.016975778,0.018750766,0.01000227
30,5,0.047675924,0.031343856,0.036314885,0.049215285,0.036142557,0.051386713,0.083306294,0.115521079,0.10947962,0.01582957,0.013201798,0.019620579,0.05947023,0.057326474,0.075101099,0.01641998,0.017076048,0.012710423,0.002330947,0.003173417,0.017640073,0.008053591,0.007902105,0.018632758,0.022560506,0.020970679,0.010039135,0.024752065,0.025662836,0.027582862,0.002012003,0.001629241,0.002178779,0.017589241,0.019100727,0.005581455
30,6,0.047088312,0.032034266,0.039753447,0.044550949,0.031432168,0.052506194,0.059546953,0.096721479,0.107845754,0.01054036,0.007844356,0.010441658,0.059652048,0.058172228,0.074365834,0.025754645,0.027341782,0.014092041,0.001661114,0.001982967,0.005116734,0.004338029,0.006696375,0.008933171,0.024334396,0.027548288,0.008598716,0.016017969,0.012833051,0.007837208,0.00108175,0.0013691,0.001626516,0.013084164,0.014346092,0.005500545
30,7,0.046367632,0.031759041,0.039602997,0.0430997,0.030752947,0.050812488,0.051147952,0.09357043,0.108521179,0.011170729,0.008296004,0.011233367,0.059257742,0.058426174,0.074397802,0.028245055,0.030043981,0.014637296,0.001760021,0.001928074,0.003968735,0.004305571,0.005909243,0.00983472,0.022656941,0.026742927,0.006624358,0.015667094,0.013309899,0.010829386,0.001203208,0.0013156,0.001731489,0.010379246,0.011700019,0.005015771
30,8,0.045944855,0.031605495,0.040998601,0.041514086,0.028218082,0.048125874,0.037841059,0.086867732,0.108178122,0.016507393,0.009636563,0.009216883,0.058555744,0.058973227,0.073895105,0.032585714,0.034968056,0.016351182,0.001404446,0.001532117,0.00234508,0.002932319,0.003482105,0.004560939,0.014251861,0.022473965,0.006299651,0.017185861,0.011215096,0.004272835,0.001147538,0.000993939,0.001290604,0.003183217,0.004115286,0.001676157
30,9,0.044468631,0.030481818,0.040332368,0.039050749,0.02535035,0.045507193,0.024375924,0.053641459,0.105594505,0.025606094,0.013093806,0.009133467,0.058247652,0.060138561,0.07257962,0.032058342,0.035549975,0.017556777,0.001156667,0.00162322,0.002345187,0.002424499,0.002998299,0.004487338,0.008634638,0.02062206,0.008812807,0.016732042,0.013174549,0.006771695,0.000895247,0.000955199,0.000951998,0.001536837,0.002270723,0.001249504
